customer_id,first_name,last_name,city,state,annual_income
CUST000001,Hardik,Borah,New Delhi,Maharashtra,404902
CUST000002,Jason,Sharaf,Coimbatore,Gujarat,1327150
CUST000003,Ati,Suri,Kozhikode,Karnataka,885264
CUST000004,Chakrika,Chaudhuri,Bareilly,Maharashtra,2587433
CUST000005,Lipika,Gala,Narasaraopet,Maharashtra,2776705
CUST000006,Zehaan,Bava,Parbhani,Delhi,433306
CUST000007,Orinder,Madan,Kolhapur,Maharashtra,692986
CUST000008,Vrishti,Mahal,Bijapur,Karnataka,1275850
CUST000009,Arjun,Bassi,Rewa,Tamil Nadu,2825049
CUST000010,Tanish,Agate,Vadodara,Maharashtra,2654032
CUST000011,Zarna,Nadkarni,Moradabad,Karnataka,2585650
CUST000012,Upkaar,Subramaniam,Tiruvottiyur,Delhi,1224594
CUST000013,Balveer,Khatri,Bhimavaram,Delhi,2771559
CUST000014,Ishwar,Johal,Hajipur,Gujarat,327257
CUST000015,Jhalak,Nath,Firozabad,Karnataka,2072573
CUST000016,Naveen,Murthy,Visakhapatnam,Gujarat,1465476
CUST000017,Thomas,Manne,Anantapuram,Karnataka,1203091
CUST000018,Frado,Ramachandran,Khandwa,Gujarat,728700
CUST000019,Brinda,Soni,Bokaro,Maharashtra,1893530
CUST000020,Mohammed,Sahota,Mehsana,Maharashtra,1805668
CUST000021,Vincent,Mannan,Srikakulam,Gujarat,2832210
CUST000022,Nimrat,Lata,Medininagar,Gujarat,482244
CUST000023,Pranav,Mishra,Meerut,Delhi,2549103
CUST000024,Rachana,Dave,Pallavaram,Maharashtra,1887688
CUST000025,Faraj,Deo,Karimnagar,Maharashtra,2615426
CUST000026,Jackson,Contractor,Firozabad,Gujarat,2936706
CUST000027,Warjas,Kant,Bhusawal,Tamil Nadu,1816807
CUST000028,Mohini,Manne,Hubli–Dharwad,Tamil Nadu,1106516
CUST000029,Om,Bose,Allahabad,Maharashtra,492201
CUST000030,Kiaan,Kamdar,Mahbubnagar,Karnataka,1513781
CUST000031,Amol,Sant,Pimpri-Chinchwad,Maharashtra,1276395
CUST000032,Amara,Doctor,Farrukhabad,Maharashtra,1894364
CUST000033,Qadim,Sawhney,South Dumdum,Gujarat,2201740
CUST000034,Tanmayi,Tak,Jalna,Gujarat,982220
CUST000035,Gautam,Bahri,Srikakulam,Gujarat,1790113
CUST000036,Owen,Mand,Raipur,Karnataka,1419786
CUST000037,Osha,Rai,Maheshtala,Maharashtra,2854880
CUST000038,Devika,Chand,Sasaram,Karnataka,2540345
CUST000039,Upasna,Varma,Muzaffarnagar,Karnataka,985359
CUST000040,Manthan,Chowdhury,Kulti,Delhi,1891551
CUST000041,Advay,Setty,Ballia,Gujarat,2984353
CUST000042,Andrew,Sur,Kulti,Tamil Nadu,1221132
CUST000043,Darsh,Kumer,Arrah,Gujarat,534620
CUST000044,Yachana,Gola,Davanagere,Karnataka,434638
CUST000045,Samuel,Behl,Shimla,Gujarat,1982607
CUST000046,Andrew,Iyer,Bhilwara,Gujarat,577615
CUST000047,Krishna,Doshi,Jaipur,Karnataka,2678925
CUST000048,Krishna,Behl,Saharsa,Gujarat,1191820
CUST000049,Nimrat,Gill,Guntakal,Delhi,1959400
CUST000050,Anya,Sur,Panipat,Delhi,899246
CUST000051,Ekaraj,Hegde,Gulbarga,Gujarat,885652
CUST000052,Avi,Swaminathan,Bhusawal,Karnataka,2654548
CUST000053,Fitan,Arora,Katihar,Tamil Nadu,1402018
CUST000054,Aradhana,Saini,Bijapur,Tamil Nadu,2096981
CUST000055,Advaith,Mangat,Aurangabad,Tamil Nadu,1975207
CUST000056,Veda,Barad,Darbhanga,Gujarat,1219897
CUST000057,Nimrat,Golla,Kamarhati,Karnataka,2437108
CUST000058,Vamakshi,Desai,Hubli–Dharwad,Delhi,681301
CUST000059,Harita,Mammen,Ujjain,Maharashtra,759901
CUST000060,Azad,Lala,Aizawl,Karnataka,2931699
CUST000061,Dhruv,Sidhu,Ramgarh,Karnataka,2070667
CUST000062,Anika,Datta,Chandigarh,Tamil Nadu,566454
CUST000063,Darsh,Ramanathan,Siliguri,Delhi,1900627
CUST000064,Nisha,Rama,Karimnagar,Tamil Nadu,2263143
CUST000065,Chanakya,Kala,Motihari,Tamil Nadu,1354507
CUST000066,Samar,Dugal,Muzaffarnagar,Tamil Nadu,348154
CUST000067,Finn,Parmar,Bidhannagar,Maharashtra,2552216
CUST000068,Barkha,Manne,Sasaram,Gujarat,2988388
CUST000069,Ronith,Bora,Howrah,Gujarat,767883
CUST000070,Warjas,Jhaveri,Kanpur,Gujarat,2123537
CUST000071,Irya,Ranganathan,Amritsar,Karnataka,2203055
CUST000072,Sai,Sampath,Kollam,Maharashtra,1404733
CUST000073,Madhavi,Chahal,Kolhapur,Tamil Nadu,1049320
CUST000074,Joshua,Ratti,Kharagpur,Tamil Nadu,746319
CUST000075,Abhiram,Sood,Rourkela,Gujarat,2979948
CUST000076,Frado,Mallick,Varanasi,Tamil Nadu,2854206
CUST000077,Bhavani,Vora,Mau,Karnataka,941054
CUST000078,Triya,Dixit,Hajipur,Gujarat,977585
CUST000079,Jeevika,Doshi,Gudivada,Tamil Nadu,2524464
CUST000080,Eesha,Vala,Mau,Maharashtra,2812155
CUST000081,Sneha,Dugar,Tinsukia,Gujarat,2349360
CUST000082,Dayita,Dalal,Ahmednagar,Maharashtra,769207
CUST000083,Jagdish,Kaul,Tinsukia,Gujarat,1589807
